QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:06:44, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
421350, 1.50418, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421360, 1.56028, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421370, 1.61638, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421381, 1.67248, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421390, 1.72858, 5.60297, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421400, 1.78468, 5.96762, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421410, 1.84428, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421421, 1.90038, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421431, 1.95999, 5.94659, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421440, 2.01609, 5.62051, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421450, 2.07219, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421460, 2.12829, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421471, 2.18789, 5.9536, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421480, 2.24399, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421490, 2.30009, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421500, 2.35269, 5.25936, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421511, 2.40879, 5.60297, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421520, 2.46489, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421530, 2.52099, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421540, 2.57709, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421551, 2.63319, 5.60297, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421560, 2.68929, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421570, 2.74539, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421580, 2.80149, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421591, 2.85759, 5.60297, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421601, 2.91369, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421610, 2.96979, 5.96061, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421620, 3.02939, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421630, 3.08549, 5.60297, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421641, 3.14159, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421650, 3.19769, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421660, 3.25029, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421670, 3.30639, 5.25936, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421681, 3.36249, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421690, 3.41859, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421700, 3.47469, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421710, 3.53079, 5.60297, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421721, 3.58338, 5.25936, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421730, 3.63948, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421740, 3.69558, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421750, 3.74817, 5.25235, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421761, 3.80427, 5.617, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421771, 3.86037, 5.59596, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421780, 3.91297, 5.26638, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421790, 3.96907, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421800, 4.02517, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421811, 4.07776, 5.60297, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421820, 4.13386, 5.26287, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421830, 4.18996, 5.60297, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421840, 4.24255, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421851, 4.29865, 5.25936, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421860, 4.35475, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421870, 4.41085, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421880, 4.46695, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421891, 4.52305, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421901, 4.57915, 5.59596, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421910, 4.63525, 5.617, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421920, 4.68785, 5.25936, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421931, 4.74044, 5.25235, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421941, 4.79654, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421950, 4.84913, 5.26287, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421960, 4.90523, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421970, 4.95783, 5.25936, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421981, 5.01393, 5.60297, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
421990, 5.07003, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422000, 5.12613, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422010, 5.18223, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422021, 5.23833, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422030, 5.29793, 5.95009, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422040, 5.35403, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422050, 5.41013, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422061, 5.46623, 5.9571, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422071, 5.52584, 5.60648, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422080, 5.58194, 5.9536, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422090, 5.64154, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422100, 5.69764, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422111, 5.75725, 5.94659, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422120, 5.81335, 5.96762, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422130, 5.87295, 5.61349, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
422140, 5.92905, 5.60999, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
