QGPIORecord, QRC v6.1.0, 22-12-2021 @ 14:56:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, trajX, trajY, trajTheta, e1, e2, e3, v, omega, -
557586, -0.288266, -0.2003, 0.00180357, -0.2832, -0.199997, 0, 0.00506666, 0.000302717, -0.00180357, 0.025336, 0.000385752, 0
557596, -0.287832, -0.200313, 0.00177233, -0.282998, -0.199997, 0, 0.00483346, 0.000316441, -0.00177233, 0.0241701, 0.000475971, 0
557605, -0.287645, -0.200325, 0.00175387, -0.282797, -0.199997, 0, 0.00484863, 0.000328243, -0.00175387, 0.024246, 0.000546371, 0
557616, -0.287676, -0.200336, 0.00174291, -0.282604, -0.199997, 0, 0.00507185, 0.000338539, -0.00174291, 0.0253622, 0.00060275, 0
557626, -0.287494, -0.200263, 0.00189251, -0.282403, -0.199997, 0, 0.00509092, 0.000266373, -0.00189251, 0.0254571, 0.000148182, 0
557636, -0.287528, -0.200279, 0.00187676, -0.282202, -0.199997, 0, 0.00532675, 0.000281721, -0.00187676, 0.0266363, 0.00023256, 0
557646, -0.287349, -0.200293, 0.00185292, -0.282, -0.199997, 0, 0.00534847, 0.00029631, -0.00185292, 0.0267451, 0.000320244, 0
557656, -0.287185, -0.200306, 0.00183242, -0.281799, -0.199997, 0, 0.00538629, 0.000309482, -0.00183242, 0.0269343, 0.000398605, 0
557666, -0.287235, -0.200156, 0.0021416, -0.281597, -0.199997, 0, 0.00563794, 0.000158593, -0.0021416, 0.0281914, -0.000552368, 0
557676, -0.287069, -0.2001, 0.00225444, -0.281396, -0.199997, 0, 0.00567341, 0.000102773, -0.00225444, 0.0283681, -0.000902751, 0
557686, -0.286918, -0.20013, 0.00219893, -0.281204, -0.199997, 0, 0.00571394, 0.00013344, -0.00219893, 0.0285711, -0.000714984, 0
557696, -0.286979, -0.200157, 0.00216872, -0.281002, -0.199997, 0, 0.00597635, 0.000159845, -0.00216872, 0.0298834, -0.000566813, 0
557706, -0.286822, -0.2001, 0.00228509, -0.280801, -0.199997, 0, 0.0060209, 0.000103429, -0.00228509, 0.0301056, -0.000922703, 0
557716, -0.286878, -0.200129, 0.00224957, -0.280599, -0.199997, 0, 0.00627857, 0.000132337, -0.00224957, 0.0313943, -0.000758677, 0
557726, -0.286917, -0.200074, 0.00238133, -0.280398, -0.199997, 0, 0.00651914, 7.67261e-05, -0.00238133, 0.0325965, -0.00112279, 0
557735, -0.286742, -0.200107, 0.00231597, -0.280197, -0.199997, 0, 0.00654507, 0.000109494, -0.00231597, 0.0327265, -0.000917909, 0
557746, -0.286582, -0.20022, 0.00207932, -0.280004, -0.199997, 0, 0.00657746, 0.000222862, -0.00207932, 0.0328896, -0.000201671, 0
557756, -0.28567, -0.200241, 0.00202126, -0.279803, -0.199997, 0, 0.00586748, 0.000243738, -0.00202126, 0.0293398, -5.33625e-05, 0
