QGPIORecord, QRC v6.1.0, 22-11-2021 @ 10:56:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, rA, VoltageState, PositionB, VelocitiyB, CurrentA, CurrentB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
167681, 0, 0, 1, 0, 0, -0.00298024, -0.00894071, 0, 0, 0, 0, 0
167690, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167700, 0, 0, 1, 0, 0, -0.0119209, 0.0447035, 0, 0, 0, 0, 0
167710, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
167720, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167730, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167740, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167750, 0, 0, 1, 0, 0, -0.00894071, -0.0119209, 0, 0, 0, 0, 0
167760, 0, 0, 1, 0, 0, 0.0476838, 0, 0, 0, 0, 0, 0
167771, 0, 0, 1, 0, 0, 0.0387431, 0.00894071, 0, 0, 0, 0, 0
167780, 0, 0, 1, 0, 0, -0.00596047, 0.0268221, 0, 0, 0, 0, 0
167790, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167800, 0, 0, 1, 0, 0, 0, -0.00298024, 0, 0, 0, 0, 0
167811, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167820, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167830, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167840, 0, 0, 1, 0, 0, -0.00298024, -0.00894071, 0, 0, 0, 0, 0
167851, 0, 0, 1, 0, 0, -0.00894071, -0.0119209, 0, 0, 0, 0, 0
167860, 0, 0, 1, 0, 0, 0.0447035, 0, 0, 0, 0, 0, 0
167870, 0, 0, 1, 0, 0, -0.00298024, 0.050664, 0, 0, 0, 0, 0
167880, 0, 0, 1, 0, 0, -0.00596047, 0.0476838, 0, 0, 0, 0, 0
