QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:39:00, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
69260, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69270, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69280, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69291, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69300, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69310, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69320, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69330, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69340, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69350, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69360, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69370, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69380, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69390, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69400, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69410, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69421, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69430, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69440, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69450, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69460, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69470, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69480, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69490, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69500, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69510, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69520, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69530, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69540, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69550, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69560, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69570, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
