QGPIORecord, QRC v6.1.0, 20-11-2021 @ 13:51:24, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, CurrentA, CurrentB, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
578900, 3.23977, 22.8081, 1, 3.16614, 21.3881, 0.134111, 0.172854, 0, 0, 0, 0, 0
578911, 3.46767, 22.7801, 1, 3.38352, 21.7282, 0.12815, 0.169873, 0, 0, 0, 0, 0
578920, 3.69909, 23.1482, 1, 3.60091, 21.7387, 0.113249, 0.166893, 0, 0, 0, 0, 0
578930, 3.9305, 23.1131, 1, 3.8218, 22.0893, 0.113249, 0.151992, 0, 0, 0, 0, 0
578940, 4.1584, 22.8151, 1, 4.0427, 22.0963, 0.116229, 0.143051, 0, 0, 0, 0, 0
578951, 4.38981, 23.1202, 1, 4.2671, 22.4189, 0.110269, 0.137091, 0, 0, 0, 0, 0
578960, 4.62473, 23.1587, 1, 4.495, 22.7976, 0.107288, 0.12815, 0, 0, 0, 0, 0
578970, 4.85965, 23.8495, 1, 4.7194, 22.7906, 0.0953675, 0.12517, 0, 0, 0, 0, 0
578980, 5.09808, 23.8109, 1, 4.95081, 22.7976, 0.089407, 0.119209, 0, 0, 0, 0, 0
578991, 5.3365, 23.8424, 1, 5.17872, 22.7801, 0.0834466, 0.116229, 0, 0, 0, 0, 0
579000, 5.57843, 23.86, 1, 5.41364, 23.4813, 0.0804663, 0.107288, 0, 0, 0, 0, 0
579010, 5.82036, 24.172, 1, 5.64505, 23.1657, 0.0715256, 0.107288, 0, 0, 0, 0, 0
579020, 6.06229, 24.5612, 1, 5.87997, 23.4813, 0.0625849, 0.104308, 0, 0, 0, 0, 0
579031, 6.30773, 24.1931, 1, 6.11138, 23.4988, 0.0625849, 0.101328, 0, 0, 0, 0, 0
579041, 6.55317, 24.5507, 1, 6.3498, 23.4708, 0.0655652, 0.0953675, 0, 0, 0, 0, 0
579050, 6.7951, 24.5507, 1, 6.58472, 23.8424, 0.0625849, 0.0923873, 0, 0, 0, 0, 0
579060, 7.04053, 24.151, 1, 6.82315, 23.8319, 0.0655652, 0.0834466, 0, 0, 0, 0, 0
579070, 7.28246, 24.5332, 1, 7.06157, 23.5094, 0.0625849, 0.0834466, 0, 0, 0, 0, 0
579081, 7.5279, 24.5332, 1, 7.3, 23.8319, 0.0596047, 0.0834466, 0, 0, 0, 0, 0
579090, 7.77334, 24.2316, 1, 7.53842, 23.8319, 0.0625849, 0.0804663, 0, 0, 0, 0, 0
579100, 8.01527, 24.5332, 1, 7.77684, 23.8495, 0.0625849, 0.0804663, 0, 0, 0, 0, 0
